lng,lat
-0.198465,51.505538
-0.193610,51.500788
-0.216407,51.518402
-0.166882,51.488233
-0.163102,51.499864
-0.163793,51.496997
-0.172881,51.482302
-0.185591,51.485017
-0.165997,51.492356
-0.227035,51.519372
-0.157984,51.494568
-0.210203,51.511203
-0.203266,51.508040
-0.180503,51.486197
-0.190458,51.489409
-0.178436,51.480230
-0.193610,51.500788
-0.168203,51.487624
-0.167653,51.483389
-0.202664,51.497689
-0.170837,51.486586
-0.157341,51.492670
-0.209282,51.516315
-0.172792,51.495339
-0.188218,51.502323
-0.160171,51.501077
-0.170697,51.490091
-0.175087,51.484764
-0.198863,51.491786
-0.157211,51.492308
-0.196093,51.499927
-0.174936,51.484941
-0.204561,51.497089
-0.196015,51.509188
-0.215564,51.517850
-0.172057,51.492091
-0.173594,51.493284
-0.175821,51.484416
-0.185640,51.480162
-0.159196,51.500252
-0.218297,51.517981
-0.200555,51.492711
-0.205170,51.507260
-0.161759,51.501012
-0.212538,51.521490
-0.205872,51.507720
-0.207044,51.496228
-0.184211,51.501632
-0.187403,51.490171
-0.193466,51.500785
-0.191006,51.490136
-0.203814,51.508768
-0.167415,51.489320
-0.194419,51.505836
-0.185519,51.483217
-0.150541,51.486268
-0.195616,51.490117
-0.176955,51.488480
-0.204439,51.507518
-0.159261,51.484337
-0.179750,51.497876
-0.205290,51.522549
-0.163370,51.489617
-0.157521,51.491773
-0.158496,51.492598
-0.213881,51.524029
-0.209149,51.516043
-0.212459,51.501436
-0.190314,51.489406
-0.166425,51.492452
-0.185314,51.484743
-0.163752,51.483688
-0.198724,51.498978
-0.185780,51.480254
-0.160578,51.501713
-0.214478,51.505064
-0.174191,51.481962
-0.155880,51.489589
-0.198724,51.498978
-0.163836,51.499516
-0.180503,51.486197
-0.179750,51.497876
-0.186209,51.502112
-0.199742,51.498724
-0.219826,51.523130
-0.220215,51.516841
-0.171420,51.486415
-0.174788,51.485029
-0.170834,51.486676
-0.182492,51.494141
-0.157654,51.492045
-0.183978,51.492995
-0.221027,51.514515
-0.168401,51.497069
-0.206189,51.507006
-0.187321,51.492238
-0.182492,51.494141
-0.209104,51.506151
-0.186925,51.502213
-0.200656,51.508450
-0.209693,51.516861
-0.192506,51.488631
-0.217710,51.514555
-0.189847,51.490298
-0.196163,51.509100
-0.192264,51.494742
-0.182621,51.494503
-0.185780,51.480254
